ID,compound,formula,mz,rt,charge
Lipid_neg_001,Prostaglandin E2,C20H32O5,351.217695,6.03,1
Lipid_neg_002,Prostaglandin F2¦Á-d9,C20H34O5,353.233345,6.03,1
Lipid_neg_003,LPG(14:2),C20H37O9P,451.210243,6.4,-1
Lipid_neg_004,LPI(20:5),C29H47O12P,617.273238,6.94,-1
Lipid_neg_005,LPI(18:3),C27H47O12P,593.273238,6.97,-1
Lipid_neg_006,LPI(16:1),C25H47O12P,569.273238,6.99,-1
Lipid_neg_007,LPG(16:1),C22H43O9P,481.257193,7.06,-1
Lipid_neg_008,LPI(20:4),C29H49O12P,619.288888,7.12,-1
Lipid_neg_009,LPI(22:6),C31H49O12P,643.288888,7.13,-1
Lipid_neg_010,LPI(18:2),C27H49O12P,595.288888,7.17,-1
Lipid_neg_011,LPG(18:2),C24H45O9P,507.272843,7.19,-1
Lipid_neg_012,LPI(22:5),C31H51O12P,645.304538,7.3,-1
Lipid_neg_013,LPI(16:0),C25H49O12P,571.288888,7.33,-1
Lipid_neg_014,LPI(20:3),C29H51O12P,621.304538,7.33,-1
Lipid_neg_015,LPG(16:0),C22H45O9P,483.272843,7.43,-1
Lipid_neg_016,LPA(18:1),C21H41O7P,435.251713,7.44,-1
Lipid_neg_017,LPI(18:1),C27H51O12P,597.304538,7.44,-1
Lipid_neg_018,LPG(18:1),C24H47O9P,509.288493,7.47,-1
Lipid_neg_019,LPI(22:4),C31H53O12P,647.320188,7.49,-1
Lipid_neg_020,LPI(20:2),C29H53O12P,623.320188,7.53,-1
Lipid_neg_021,LPA(16:0),C19H39O7P,409.236063,7.73,-1
Lipid_neg_022,LPI(18:0),C27H53O12P,599.320188,7.82,-1
Lipid_neg_023,LPA(18:0),C21H43O7P,437.267363,7.9,-1
Lipid_neg_024,LPI(20:1),C29H55O12P,625.335838,7.91,-1
Lipid_neg_025,LPG(18:0),C24H49O9P,511.304143,7.96,-1
Lipid_neg_026,LPA(20:2),C23H43O7P,461.267363,8.35,-1
Lipid_neg_027,LPA(20:1),C23H45O7P,463.283013,8.8,-1
Lipid_neg_028,LPA(20:0),C23H47O7P,465.298663,9.06,-1
Lipid_neg_029,PG(42:12),C48H71O10P,837.471208,9.19,-1
Lipid_neg_030,PI(30:2),C39H71O13P,777.455953,9.59,-1
Lipid_neg_031,PG(36:6),C42H71O10P,765.471208,9.95,-1
Lipid_neg_032,PG(32:2),C38H71O10P,717.471208,9.96,-1
Lipid_neg_033,PG(42:11),C48H73O10P,839.486858,10,-1
Lipid_neg_034,PG(34:4),C40H71O10P,741.471208,10.06,-1
Lipid_neg_035,PI(28:1),C37H69O13P,751.440303,10.12,-1
Lipid_neg_036,PI(30:1),C39H73O13P,779.471603,10.18,-1
Lipid_neg_037,PG(30:1),C36H69O10P,691.455558,10.2,-1
Lipid_neg_038,PG(36:5),C42H73O10P,767.486858,10.2,-1
Lipid_neg_039,PG(38:7),C44H73O10P,791.486858,10.2,-1
Lipid_neg_040,PI(32:2),C41H75O13P,805.487253,10.29,-1
Lipid_neg_041,PI(34:4),C43H75O13P,829.487253,10.34,-1
Lipid_neg_042,PG(34:3),C40H73O10P,743.486858,10.39,-1
Lipid_neg_043,PG(32:1),C38H73O10P,719.486858,10.4,-1
Lipid_neg_044,PG(44:12),C50H75O10P,865.502508,10.43,-1
Lipid_neg_045,PG(40:8),C46H75O10P,817.502508,10.45,-1
Lipid_neg_046,PA(28:0),C31H61O8P,591.403128,10.48,-1
Lipid_neg_047,PG(42:10),C48H75O10P,841.502508,10.49,-1
Lipid_neg_048,PG(38:6),C44H75O10P,793.502508,10.6,-1
Lipid_neg_049,PG(44:11),C50H77O10P,867.518158,10.61,-1
Lipid_neg_050,PI(36:5),C45H77O13P,855.502903,10.63,-1
Lipid_neg_051,PG(34:2),C40H75O10P,745.502508,10.65,-1
Lipid_neg_052,PG(36:4),C42H75O10P,769.502508,10.68,-1
Lipid_neg_053,PA(30:1),C33H63O8P,617.418778,10.73,-1
Lipid_neg_054,PG(42:9),C48H77O10P,843.518158,10.75,-1
Lipid_neg_055,PI(34:3),C43H77O13P,831.502903,10.76,-1
Lipid_neg_056,PI(32:1),C41H77O13P,807.502903,10.79,-1
Lipid_neg_057,PI(38:6),C47H79O13P,881.518553,10.8,-1
Lipid_neg_058,PG(30:0),C36H71O10P,693.471208,10.82,-1
Lipid_neg_059,PG(38:5),C44H77O10P,795.518158,10.91,-1
Lipid_neg_060,PG(36:3),C42H77O10P,771.518158,10.94,-1
Lipid_neg_061,PG(40:7),C46H77O10P,819.518158,10.94,-1
Lipid_neg_062,PG(42:6),C48H83O10P,849.565108,10.95,-1
Lipid_neg_063,PI(34:2),C43H79O13P,833.518553,10.97,-1
Lipid_neg_064,PG(44:10),C50H79O10P,869.533808,10.98,-1
Lipid_neg_065,PG(46:10),C52H83O10P,897.565108,10.98,-1
Lipid_neg_066,PG(44:8),C50H83O10P,873.565108,11.01,-1
Lipid_neg_067,PG(40:6),C46H79O10P,821.533808,11.02,-1
Lipid_neg_068,PI(36:4),C45H79O13P,857.518553,11.06,-1
Lipid_neg_069,PG(42:8),C48H79O10P,845.533808,11.09,-1
Lipid_neg_070,PG(O-34:1),C40H79O9P,733.538893,11.1,-1
Lipid_neg_071,PI(40:7),C49H81O13P,907.534203,11.16,-1
Lipid_neg_072,PI(38:5),C47H81O13P,883.534203,11.2,-1
Lipid_neg_073,PG(46:9),C52H85O10P,899.580758,11.2,-1
Lipid_neg_074,PI(36:3),C45H81O13P,859.534203,11.24,-1
Lipid_neg_075,PG(38:4),C44H79O10P,797.533808,11.25,-1
Lipid_neg_076,PG(36:2),C42H79O10P,773.533808,11.33,-1
Lipid_neg_077,PG(42:7),C48H81O10P,847.549458,11.35,-1
Lipid_neg_078,PG(42:2),C48H91O10P,857.627708,11.36,-1
Lipid_neg_079,PG(40:2),C46H87O10P,829.596408,11.37,-1
Lipid_neg_080,PI(40:6),C49H83O13P,909.549853,11.38,-1
Lipid_neg_081,PG(48:11),C54H85O10P,923.580758,11.39,-1
Lipid_neg_082,PG(44:9),C50H81O10P,871.549458,11.4,-1
Lipid_neg_083,PG(42:5),C48H85O10P,851.580758,11.45,-1
Lipid_neg_084,PG(40:5),C46H81O10P,823.549458,11.46,-1
Lipid_neg_085,PG(44:7),C50H85O10P,875.580758,11.48,-1
Lipid_neg_086,PA(30:0),C33H65O8P,619.434428,11.5,-1
Lipid_neg_087,PI(34:1),C43H81O13P,835.534203,11.5,-1
Lipid_neg_088,PG(38:3),C44H81O10P,799.549458,11.6,-1
Lipid_neg_089,PG(32:0),C38H75O10P,721.502508,11.62,-1
Lipid_neg_090,PG(44:6),C50H87O10P,877.596408,11.63,-1
Lipid_neg_091,PI(36:2),C45H83O13P,861.549853,11.64,-1
Lipid_neg_092,PA(32:1),C35H67O8P,645.450078,11.67,-1
Lipid_neg_093,PG(34:1),C40H77O10P,747.518158,11.73,-1
Lipid_neg_094,PA(34:2),C37H69O8P,671.465728,11.76,-1
Lipid_neg_095,PA(36:4),C39H69O8P,695.465728,11.77,-1
Lipid_neg_096,PG(46:8),C52H87O10P,901.596408,11.79,-1
Lipid_neg_097,PA(36:2),C39H73O8P,699.497028,11.8,-1
Lipid_neg_098,PI(38:4),C47H83O13P,885.549853,11.8,-1
Lipid_neg_099,PG(36:1),C42H81O10P,775.549458,11.9,-1
Lipid_neg_100,PI(40:5),C49H85O13P,911.565503,11.91,-1
Lipid_neg_101,PG(40:4),C46H83O10P,825.565108,11.94,-1
Lipid_neg_102,PG(42:1),C48H93O10P,859.643358,11.95,-1
Lipid_neg_103,PG(48:9),C54H89O10P,927.612058,11.95,-1
Lipid_neg_104,PG(48:10),C54H87O10P,925.596408,11.99,-1
Lipid_neg_105,PG(40:1),C46H89O10P,831.612058,12.01,-1
Lipid_neg_106,PG(38:2),C44H83O10P,801.565108,12.04,-1
Lipid_neg_107,PA(32:0),C35H69O8P,647.465728,12.1,-1
Lipid_neg_108,PI(42:6),C51H87O13P,937.581153,12.1,-1
Lipid_neg_109,PG(46:7),C52H89O10P,903.612058,12.2,-1
Lipid_neg_110,PI(36:1),C45H85O13P,863.565503,12.21,-1
Lipid_neg_111,PG(44:5),C50H89O10P,879.612058,12.23,-1
Lipid_neg_112,PI(38:3),C47H85O13P,887.565503,12.24,-1
Lipid_neg_113,PA(34:1),C37H71O8P,673.481378,12.27,-1
Lipid_neg_114,PG(34:0),C40H79O10P,749.533808,12.27,-1
Lipid_neg_115,PI(40:4),C49H87O13P,913.581153,12.3,-1
Lipid_neg_116,PA(36:1),C39H75O8P,701.512678,12.32,-1
