compound,formula,mz,rt,charge
Sphingosine d14:1,C14H29NO2,244.227109,6.76,1
Sphingosine d15:1,C15H31NO2,258.242759,6.96,1
LPS(16:1),C22H42NO9P,496.267002,7.02,1
LPC(14:1),C22H44NO7P,466.292822,7.03,1
LPE(14:1),C19H38NO7P,424.245872,7.1,1
LPS(22:6),C28H44NO9P,570.282652,7.19,1
LPS(18:2),C24H44NO9P,522.282652,7.2,1
Sphingosine d16:1,C16H33NO2,272.258409,7.21,1
LPC(14:0),C22H46NO7P,468.308472,7.29,1
LPC(16:2),C24H46NO7P,492.308472,7.29,1
LPE(14:0),C19H40NO7P,426.261522,7.32,1
LPS(22:5),C28H46NO9P,572.298302,7.32,1
LPE(16:2),C21H40NO7P,450.261522,7.34,1
LPC(20:5),C28H48NO7P,542.324122,7.36,1
LPS(16:0),C22H44NO9P,498.282652,7.37,1
Sphingosine d17:1,C17H35NO2,286.274059,7.38,1
LPC(18:3),C26H48NO7P,518.324122,7.39,1
LPS(20:4),C26H44NO9P,546.282652,7.39,1
LPE(20:5),C25H42NO7P,500.277172,7.45,1
LPC(16:1),C24H48NO7P,494.324122,7.45,1
LPC(18:4),C26H46NO7P,516.308472,7.45,1
LPS(24:6),C30H48NO9P,598.313952,7.45,1
LPE(16:1),C21H42NO7P,452.277172,7.5,1
LPE(18:3),C23H42NO7P,476.277172,7.5,1
LPS(18:1),C24H46NO9P,524.298302,7.5,1
LPS(22:4),C28H48NO9P,574.313952,7.53,1
LPC(22:6),C30H48NO7P,566.324122,7.62,1
LPC(18:2),C26H50NO7P,520.339772,7.64,1
LPC(20:4),C28H50NO7P,544.339772,7.64,1
LPE(18:2),C23H44NO7P,478.292822,7.71,1
LPE(20:4),C25H44NO7P,502.292822,7.71,1
Sphingosine d18:1,C18H37NO2,300.289709,7.71,1
LPE(22:6),C27H44NO7P,526.292822,7.73,1
LPC(22:5),C30H52NO7P,570.355422,7.78,1
PS(28:2),C34H62NO10P,676.418417,7.84,1
LPS(24:5),C30H50NO9P,600.329602,7.86,1
LPE(16:0),C21H44NO7P,454.292822,7.9,1
LPE(22:5),C27H46NO7P,528.308472,7.9,1
LPC(16:0),C24H50NO7P,496.339772,7.91,1
LPC(20:3),C28H52NO7P,546.355422,7.95,1
PS(28:1),C34H64NO10P,678.434067,8.02,1
LPC(24:6),C32H54NO7P,596.371072,8.05,1
LPE(20:3),C25H46NO7P,504.308472,8.08,1
LPC(18:1),C26H52NO7P,522.355422,8.09,1
LPC(22:4),C30H54NO7P,572.371072,8.11,1
LPE(18:1),C23H46NO7P,480.308472,8.21,1
LPE(22:4),C27H48NO7P,530.324122,8.22,1
LPE(24:6),C29H48NO7P,554.324122,8.22,1
LPC(20:2),C28H54NO7P,548.371072,8.22,1
Sphingosine d20:1,C20H41NO2,328.321009,8.23,1
MG_Na(14:0),C17H33O4Na,325.2349343,8.3,1
MG_NH4(14:0),C17H33O4NH4,320.279539,8.3,1
LPE(20:2),C25H48NO7P,506.324122,8.38,1
LPC(24:5),C32H56NO7P,598.386722,8.38,1
PS(28:0),C34H66NO10P,680.449717,8.5,1
LPC(22:3),C30H56NO7P,574.386722,8.51,1
MG_Na(16:1),C19H35O4Na,351.2505843,8.51,1
MG_NH4(16:1),C19H35O4NH4,346.295189,8.51,1
LPE(24:5),C29H50NO7P,556.339772,8.53,1
LPC(20:1),C28H56NO7P,550.386722,8.61,1
LPC(18:0),C26H54NO7P,524.371072,8.62,1
LPE(22:3),C27H50NO7P,532.339772,8.64,1
LPC(24:4),C32H58NO7P,600.402372,8.68,1
LPE(18:0),C23H48NO7P,482.324122,8.75,1
LPE(20:1),C25H50NO7P,508.339772,8.76,1
MG_Na(20:4),C23H37O4Na,401.2662343,8.81,1
MG_NH4(20:4),C23H37O4NH4,396.310839,8.81,1
MG_Na(22:6),C25H37O4Na,425.2662343,8.82,1
MG_NH4(22:6),C25H37O4NH4,420.310839,8.82,1
MG_Na(18:2),C21H37O4Na,377.2662343,8.85,1
MG_NH4(18:2),C21H37O4NH4,372.310839,8.85,1
LPC(22:2),C30H58NO7P,576.402372,8.86,1
LPE(24:4),C29H52NO7P,558.355422,8.94,1
MG_Na(22:5),C25H39O4Na,427.2818843,8.99,1
MG_NH4(22:5),C25H39O4NH4,422.326489,8.99,1
LPE(22:2),C27H52NO7P,534.355422,9.01,1
MG_Na(16:0),C19H37O4Na,353.2662343,9.12,1
MG_NH4(16:0),C19H37O4NH4,348.310839,9.12,1
LPC(24:3),C32H60NO7P,602.418022,9.16,1
MG_Na(20:3),C23H39O4Na,403.2818843,9.2,1
MG_NH4(20:3),C23H39O4NH4,398.326489,9.2,1
LPE(24:3),C29H54NO7P,560.371072,9.32,1
MG_Na(18:1),C21H39O4Na,379.2818843,9.34,1
MG_NH4(18:1),C21H39O4NH4,374.326489,9.34,1
MG_Na(22:4),C25H41O4Na,429.2975343,9.36,1
MG_NH4(22:4),C25H41O4NH4,424.342139,9.36,1
LPC(22:1),C30H60NO7P,578.418022,9.41,1
LPE(20:0),C25H52NO7P,510.355422,9.42,1
LPC(20:0),C28H58NO7P,552.402372,9.44,1
MG_Na(24:5),C27H43O4Na,455.3131843,9.5,1
MG_NH4(24:5),C27H43O4NH4,450.357789,9.5,1
LPE(22:1),C27H54NO7P,536.371072,9.61,1
LPC(24:2),C32H62NO7P,604.433672,9.62,1
MG_Na(20:2),C23H41O4Na,405.2975343,9.65,1
MG_NH4(20:2),C23H41O4NH4,400.342139,9.65,1
LPE(24:2),C29H56NO7P,562.386722,9.75,1
MG_Na(18:0),C21H41O4Na,381.2975343,10.1,1
MG_NH4(18:0),C21H41O4NH4,376.342139,10.1,1
LPC(22:0),C30H62NO7P,580.433672,10.14,1
MG_Na(20:1),C23H43O4Na,407.3131843,10.19,1
MG_NH4(20:1),C23H43O4NH4,402.357789,10.19,1
MG_Na(24:4),C27H45O4Na,457.3288343,10.22,1
MG_NH4(24:4),C27H45O4NH4,452.373439,10.22,1
PC(28:2),C36H68NO8P,674.475537,10.25,1
LPC(24:1),C32H64NO7P,606.449322,10.4,1
PS(30:1),C36H68NO10P,706.465367,10.42,1
LPE(24:1),C29H58NO7P,564.402372,10.43,1
PS(32:2),C38H70NO10P,732.481017,10.55,1
PS(30:0),C36H70NO10P,708.481017,10.72,1
PC(28:1),C36H70NO8P,676.491187,10.86,1
PS(34:4),C40H70NO10P,756.481017,10.91,1
PS(32:1),C38H72NO10P,734.496667,10.93,1
